"Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"dCa,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5"
3.01E+00,2.03E-01,7.21E-01,3.05E+00,2.81E-01,0.067317335,3.39E-01,7.58E-02,2.96E-02,-4.88E-03,1.33E-02,7.89E-02,-4.80E-02
2.55E+00,9.52E-02,5.13E-01,3.21E+00,1.88E-01,0.071043827,6.43E-01,-1.72E-02,-2.60E-02,2.53E-02,-3.16E-02,1.91E-02,-1.04E-01
3.24E+00,6.47E-01,2.51E-01,2.98E+00,-1.32E-01,0.115066285,7.34E-01,1.60E-02,-7.74E-02,-6.73E-02,-1.22E-02,4.53E-02,-4.36E-02
2.87E+00,5.55E-01,2.71E-01,3.33E+00,5.60E-01,0.093423289,5.23E-01,-1.00E-02,-4.34E-02,-3.25E-02,-3.33E-02,-4.99E-02,8.66E-03
3.28E+00,4.36E-01,3.64E-01,2.44E+00,3.70E-01,0.249175687,-1.26E-01,-2.36E-02,1.54E-02,1.64E-02,1.49E-02,7.52E-02,-1.10E-02
3.43E+00,4.29E-01,2.84E-01,1.70E+00,3.15E-01,0.158281945,6.32E-01,3.29E-02,-1.87E-02,5.53E-03,8.43E-02,-9.09E-02,-5.01E-02
3.11E+00,4.76E-01,6.44E-01,3.58E+00,4.79E-01,0.185222978,2.92E-01,8.86E-03,1.88E-02,-4.70E-02,1.09E-01,-1.28E-02,-4.55E-02
2.92E+00,4.59E-01,2.17E-01,3.72E+00,6.52E-01,0.141912634,3.13E-01,1.19E-03,6.90E-02,-5.38E-02,-4.07E-02,-7.52E-02,-4.80E-02
2.98E+00,5.80E-01,3.71E-01,3.78E+00,6.14E-01,0.048251725,6.07E-01,-3.47E-02,2.19E-03,-9.18E-02,6.96E-03,6.36E-02,2.81E-02
3.53E+00,1.94E-01,7.44E-01,2.80E+00,1.62E-01,0.219332944,5.09E-01,-2.78E-02,-7.27E-02,1.64E-02,3.63E-02,9.86E-04,6.67E-02
3.21E+00,1.41E-01,2.97E-01,3.14E+00,4.84E-02,0.018274863,3.13E-01,4.45E-02,1.09E-01,4.52E-02,-1.83E-02,3.34E-02,3.54E-02
2.95E+00,4.31E-01,3.18E-01,3.61E+00,4.14E-01,0.1447725,6.71E-02,-5.62E-02,5.25E-02,3.14E-02,4.87E-03,2.54E-03,-1.16E-01
