"Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"dCa,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5","Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"Ca,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5","Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"dCa,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5","Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"dCa,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5"
3.44E+00,9.13E-01,6.59E-01,3.83E+00,5.87E-01,0.364628976,5.39E-01,6.20E-02,1.88E-02,1.02E-01,5.13E-02,-3.69E-02,-3.41E-02,4.21E+00,6.50E-01,4.58E-01,3.80E+00,5.99E-01,0.375250191,6.02E-01,-2.54E-02,2.77E-02,2.80E-02,2.10E-02,-6.22E-02,-2.69E-02,4.44E+00,5.49E-01,4.59E-01,4.30E+00,5.50E-01,0.362150409,5.07E-01,5.03E-02,-3.62E-02,-1.14E-02,-9.70E-03,2.12E-02,3.67E-02,3.83E+00,8.25E-01,8.04E-01,4.33E+00,6.32E-01,0.387228031,6.96E-01,3.41E-02,4.41E-02,3.22E-02,-1.03E-01,3.60E-02,2.38E-02
3.49E+00,7.07E-01,1.18E-01,3.57E+00,6.10E-01,0.409936323,2.73E-01,-2.31E-03,-3.10E-02,6.20E-02,6.88E-03,1.52E-02,-4.31E-02,4.38E+00,8.89E-01,3.21E-01,3.60E+00,6.66E-01,0.407805977,5.61E-01,5.80E-02,8.06E-02,1.66E-01,-2.30E-02,-6.97E-02,-8.45E-02,4.25E+00,2.82E-01,4.37E-01,3.80E+00,6.08E-01,0.398561524,5.83E-01,-9.62E-03,-2.53E-02,8.18E-02,3.43E-02,-8.33E-02,4.66E-02,3.65E+00,7.90E-01,8.16E-01,4.19E+00,6.32E-01,0.398208506,6.22E-01,8.55E-02,-4.41E-03,2.26E-02,9.15E-02,6.99E-02,-1.02E-01
3.14E+00,8.55E-02,7.05E-01,3.80E+00,5.86E-01,0.399170106,5.36E-01,-4.56E-02,-8.84E-02,1.43E-01,8.51E-02,-6.93E-02,-7.69E-02,3.54E+00,7.87E-01,2.34E-02,4.17E+00,5.71E-01,0.404617446,4.14E-01,3.65E-02,2.64E-03,3.33E-02,4.62E-02,4.39E-02,1.45E-02,3.49E+00,7.07E-01,1.18E-01,3.57E+00,6.10E-01,0.409936323,2.73E-01,-2.31E-03,-3.10E-02,6.20E-02,6.88E-03,1.52E-02,-4.31E-02,3.63E+00,8.40E-01,1.77E-01,4.09E+00,6.45E-01,0.369051912,5.24E-01,6.24E-02,-6.17E-02,3.87E-02,4.74E-02,5.80E-02,-8.13E-02
4.26E+00,1.63E-01,3.73E-01,3.98E+00,6.14E-01,0.404480754,5.70E-01,-6.64E-02,4.70E-02,2.13E-01,2.48E-02,-6.30E-02,4.60E-03,3.10E+00,8.84E-01,-1.69E-02,4.37E+00,6.65E-01,0.395107051,5.93E-01,-2.24E-02,-6.25E-02,1.31E-01,-7.90E-02,-1.07E-02,-5.01E-02,3.63E+00,-7.78E-02,1.27E-01,3.14E+00,5.24E-01,0.365753027,1.96E-01,-6.14E-02,-1.71E-02,1.30E-01,-4.83E-02,1.79E-02,5.67E-02,3.14E+00,8.55E-02,7.05E-01,3.80E+00,5.86E-01,0.399170106,5.36E-01,-4.56E-02,-8.84E-02,1.43E-01,8.51E-02,-6.93E-02,-7.69E-02
4.04E+00,-1.27E-01,7.20E-01,3.27E+00,5.30E-01,0.404174706,5.69E-01,-6.54E-02,-1.28E-01,1.30E-01,-5.07E-03,6.06E-02,-2.67E-02,2.73E+00,-6.84E-02,6.19E-01,3.21E+00,5.27E-01,0.364662467,6.12E-01,-6.00E-02,-1.49E-01,2.03E-01,1.40E-01,2.11E-02,-7.85E-03,3.56E+00,1.43E-01,3.13E-02,3.18E+00,6.12E-01,0.403117761,6.73E-01,-5.62E-02,-3.10E-02,2.38E-01,-1.33E-01,7.47E-03,-1.24E-01,4.27E+00,3.12E-01,-2.64E-02,3.06E+00,6.21E-01,0.400722549,5.98E-01,-4.63E-03,-5.43E-04,2.22E-01,-8.46E-03,-3.68E-02,-4.11E-03
3.44E+00,-1.79E-01,-1.31E-01,3.69E+00,7.33E-01,0.399770253,7.50E-01,-7.29E-02,-3.31E-03,2.24E-01,-1.94E-01,9.63E-02,-8.58E-02,3.82E+00,2.01E-01,-2.50E-01,3.19E+00,6.84E-01,0.399633478,7.45E-01,-9.23E-02,-5.75E-02,2.33E-01,-1.85E-02,7.26E-02,-4.47E-02,3.97E+00,-3.89E-02,-7.62E-02,4.05E+00,5.74E-01,0.407849639,6.94E-01,-6.34E-02,-7.12E-02,2.16E-01,-1.10E-01,5.69E-02,-1.32E-01,2.95E+00,3.46E-02,5.99E-01,2.93E+00,5.20E-01,0.412871729,4.60E-01,1.57E-02,-6.50E-02,1.41E-01,2.72E-01,1.18E-01,-2.99E-02
3.25E+00,2.99E-02,4.61E-02,3.16E+00,5.30E-01,0.399726508,3.45E-01,-3.73E-02,1.28E-02,1.64E-01,-2.36E-01,1.15E-01,-9.32E-02,3.84E+00,2.44E-01,2.19E-01,3.05E+00,6.72E-01,0.380402688,7.01E-01,2.26E-02,-1.69E-01,2.85E-01,-1.06E-01,1.35E-01,-1.13E-01,4.29E+00,8.75E-02,8.02E-02,3.05E+00,7.31E-01,0.369045503,8.21E-01,-6.71E-02,6.56E-02,2.08E-01,-1.95E-01,1.30E-01,-2.33E-01,3.44E+00,-1.79E-01,-1.31E-01,3.69E+00,7.33E-01,0.399770253,7.50E-01,-7.29E-02,-3.31E-03,2.24E-01,-1.94E-01,9.63E-02,-8.58E-02
2.81E+00,-5.44E-02,-1.22E-01,3.11E+00,5.89E-01,0.404717257,2.10E-01,7.54E-03,-4.35E-02,2.08E-01,-1.28E-01,1.45E-01,-4.07E-02,3.59E+00,2.23E-01,1.92E-01,3.56E+00,5.93E-01,0.404866643,5.41E-01,5.38E-03,5.62E-02,2.78E-01,-1.75E-01,1.19E-01,-2.16E-01,3.11E+00,1.74E-01,1.33E-01,3.20E+00,4.52E-01,0.394426899,2.80E-01,3.84E-02,-2.20E-01,1.63E-01,-1.80E-01,9.58E-02,-1.14E-01,4.01E+00,1.73E-01,6.18E-01,3.12E+00,6.13E-01,0.407788653,8.15E-01,2.47E-02,-2.64E-03,2.39E-01,-1.85E-01,7.97E-02,-2.76E-01
3.12E+00,8.64E-02,-2.00E-02,3.63E+00,5.41E-01,0.401365118,4.29E-01,4.38E-02,-2.60E-01,2.54E-01,-2.30E-01,9.74E-02,-1.43E-01,2.81E+00,-5.44E-02,-1.22E-01,3.11E+00,5.89E-01,0.404717257,2.10E-01,7.54E-03,-4.35E-02,2.08E-01,-1.28E-01,1.45E-01,-4.07E-02,4.36E+00,-1.02E-01,5.51E-01,2.83E+00,5.39E-01,0.382441658,8.28E-01,-2.97E-02,-7.37E-02,2.70E-01,-1.03E-01,1.07E-01,-2.53E-01,3.78E+00,8.70E-02,7.77E-01,3.64E+00,6.44E-01,0.387405036,8.41E-01,5.61E-03,2.44E-02,2.74E-01,-2.23E-01,3.28E-03,-1.52E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,4.25E+00,6.89E-02,1.60E-01,3.88E+00,6.83E-01,0.363033284,7.84E-01,8.42E-02,-1.12E-01,2.20E-01,-1.33E-01,1.40E-01,-2.87E-01,3.12E+00,8.64E-02,-2.00E-02,3.63E+00,5.41E-01,0.401365118,4.29E-01,4.38E-02,-2.60E-01,2.54E-01,-2.30E-01,9.74E-02,-1.43E-01,3.47E+00,1.26E-02,-1.41E-01,3.75E+00,5.30E-01,0.410520799,1.72E-01,3.71E-02,-7.51E-02,2.46E-01,-6.85E-02,1.09E-01,-2.51E-02
